facultyid,phonenumber,title,degreecollege,fullname,email,fulladdress,orderid
20532897,"16160710 3080",Mr.,Advertising,"Piper Levine",vulputate@velitPellentesqueultricies.ca,"933-2640 Pede Ave",11771158
43569515,"16510820 5369",Dr.,"Tech Support","Edward Glenn",Nunc.ac@Inmipede.edu,"5191 Dui. Avenue",9126332
41846562,"16120825 3565",Ms.,Accounting,"Breanna Bradley",molestie.arcu@euultrices.edu,"459-9390 Fames Rd.",9420604
54932393,"16050607 0895",Dr.,"Sales and Marketing","Aaron Lee",enim@ridiculusmus.net,"Ap #345-8042 Arcu. Avenue",2230967
69643362,"16790326 0649",Dr.,"Asset Management","Ciara Castro",lacinia.vitae.sodales@ipsum.ca,"P.O. Box 198, 7103 Mattis Rd.",2205636
50723923,"16590510 8899",Mrs.,Finances,"Zachery Kirk",ut.odio@etcommodo.com,"712-3139 Pretium St.",1185189
39027029,"16251112 0285",Ms.,Finances,"Rhona Hutchinson",Curabitur.egestas.nunc@Quisque.ca,"P.O. Box 321, 8213 Dolor St.",2832176
4424299,"16390123 9891",Mrs.,"Quality Assurance","Nolan Pope",amet.luctus.vulputate@dolordolor.net,"5473 Mauris Street",4900322
46687984,"16350112 3677",,"Asset Management","Chastity Stevenson",metus.Vivamus.euismod@id.ca,"515 Pellentesque Rd.",1494482
22012548,"16361223 8083",Mrs.,Advertising,"Xavier Skinner",mattis.Integer.eu@nibhAliquam.co.uk,"Ap #216-3710 Dui. St.",2118167
51628826,"16350516 9361",Dr.,"Legal Department","Charity Mathis",risus@erat.edu,"763-5733 Fermentum Av.",7663460
61136547,"16590115 0754",,"Customer Relations","Dieter Burns",dolor.dolor.tempus@nullavulputate.org,"P.O. Box 102, 5468 Libero Rd.",2563066
57901704,"16080703 6355",Dr.,"Human Resources","Ashely Lester",erat@convallis.com,"795 Etiam St.",7762941
68583832,"16961214 8339",,"Human Resources","Kiara Sawyer",Aliquam@Nuncmauriselit.net,"145-6958 Non, St.",1641630
68845091,"16371001 5987",Ms.,"Asset Management","Prescott Forbes",felis.purus.ac@sitametconsectetuer.co.uk,"Ap #435-6023 Nascetur Street",7443408
19366273,"16290412 1205",Mrs.,"Human Resources","August Farmer",Phasellus.at@Craslorem.net,"Ap #530-6122 Fusce St.",1806045
26127647,"16540425 7767",,"Sales and Marketing","Deirdre Green",enim.diam.vel@tellusAeneanegestas.org,"Ap #446-7834 Sapien Rd.",10759073
46392240,"16140318 2015",Mrs.,"Research and Development","Audra Aguirre",cursus.et@semper.net,"5860 Egestas, Av.",7919120
77118086,"16821115 5422",,"Tech Support","Ronan Hoffman",sagittis.Duis.gravida@consectetuer.com,"496-3116 Commodo St.",5899493
43211270,"16080925 2828",Dr.,Accounting,"Cyrus Maldonado",rutrum@elitelitfermentum.net,"2500 Enim. Street",6297638
44160180,"16631220 4644",Mrs.,Payroll,"Aiko Simpson",augue@laoreetipsumCurabitur.edu,"P.O. Box 679, 7867 Pellentesque Ave",7868981
12569594,"16960607 9102",Dr.,"Media Relations","Jack Leblanc",posuere@amet.org,"Ap #135-5661 Tristique Rd.",7355767
63502658,"16971113 0923",Ms.,"Media Relations","Quon Bonner",elementum@intempus.edu,"6965 Integer Rd.",7715526
29290116,"16920108 4259",Mr.,"Legal Department","Malik Shelton",gravida.Praesent@elitafeugiat.co.uk,"4539 Praesent Avenue",3884395
73033833,"16980428 8711",,"Public Relations","Sharon Rice",Sed@convallis.ca,"9954 Egestas Av.",11431499
27869018,"16451219 3931",Mrs.,"Research and Development","Abraham Sawyer",est.ac@Proinvelit.com,"3054 Consequat Road",3092212
21015713,"16290524 7926",,Accounting,"Basia Mcdaniel",non.bibendum.sed@Quisqueporttitor.co.uk,"P.O. Box 844, 3955 Ac Ave",6049761
29688332,"16730420 9682",Ms.,"Human Resources","Rudyard Mills",Integer.sem.elit@lacus.edu,"Ap #416-7026 Amet Street",5605620
1759824,"16340711 8797",Ms.,"Legal Department","Rachel Rush",metus.Aliquam@justoProin.net,"4197 Enim, Road",1092134
19329603,"16500902 6435",,Payroll,"Ivor Rodgers",nec.orci@acturpisegestas.com,"5942 Enim. Av.",10363427
43435236,"16040919 3836",Ms.,Payroll,"Noelani Ford",non.cursus@Vestibulumuteros.ca,"P.O. Box 128, 5629 Quis Street",9703903
75344165,"16780104 9904",Mr.,Payroll,"Gillian Gallegos",aliquet.sem@Nunc.net,"9089 Nullam Rd.",1799256
35844583,"16980613 0598",Dr.,"Sales and Marketing","Perry Mann",ipsum.leo.elementum@Praesent.edu,"P.O. Box 849, 5202 Nec Street",3346738
53483978,"16420505 6213",,Finances,"Armand Chang",et.rutrum@noncursusnon.edu,"398-7896 Nam Avenue",5260821
19563905,"16900521 9408",Mrs.,"Research and Development","Ronan Ashley",sapien.molestie@ipsumdolor.org,"Ap #588-6505 Nam Rd.",3987102
19987054,"16770927 2434",,"Public Relations","Ryder Randall",lectus.convallis@faucibusorci.ca,"P.O. Box 810, 1197 Ornare, St.",2831273
77821205,"16470719 8208",,Advertising,"Astra Robertson",pharetra.Nam.ac@pede.net,"850-2920 Ullamcorper, St.",3789650
