Restaurantid,fulladdress,schedule,name,websiteaddress,orderid,DeliveryDriver_studentid,DeliveryDriver_students_email,Delivery driver_Faculty_email,DeliveryDriver_staff_email
74401481699,Ap #373-4250 Mus. Rd.,,Leo Morbi Neque LLC,Garrett,16531220 9439,16920309 2359,dolor@enimEtiam.co.uk,a@risusDonec.org,blandit.enim.consequat@nuncac.net
57622535399,8965 Rutrum Street,12am-9pm,Tempor Arcu Vestibulum Foundation,Joel,16881016 3504,16730816 2564,vestibulum.Mauris.magna@natoquepenatibuset.com,nisi.dictum@ac.ca,libero.nec@felisNulla.co.uk
32921254199,823-7714 Per Road,12am-9pm,Nulla Eget Metus Incorporated,Burke,16391006 7804,16561025 3568,faucibus@magnaSuspendisse.org,porttitor.tellus@nibhAliquamornare.edu,Quisque.libero.lacus@nectempus.ca
20599807899,"P.O. Box 474, 9262 Arcu. Street",12am-9pm,Ut Eros Non Corporation,Ivan,16280617 1274,16750321 3980,quis@nuncrisus.net,tempor@scelerisquesed.ca,eu@sitametrisus.edu
19477046699,"427-9767 Adipiscing, St.",12am-9pm,Vel Company,David,16110725 0738,16240128 3763,ultrices.posuere.cubilia@magnaLoremipsum.edu,luctus@orci.org,pharetra.felis@Donecelementumlorem.com
91405834099,"P.O. Box 727, 1932 Vitae Road",10pm-6am,Lacus Quisque Imperdiet Industries,Merritt,16640204 6913,16860512 3010,vehicula@vitaemaurissit.edu,tellus@anteblandit.com,Proin.dolor.Nulla@utnisia.edu
91432932999,Ap #115-8154 Sit Road,9am-5pm,Morbi Metus Vivamus Inc.,Burke,16070625 2657,16150107 6424,vitae@Suspendisse.com,ipsum@scelerisque.com,amet.risus@PhasellusornareFusce.org
69261687299,5275 Suspendisse Road,12pm-5pm,Tortor Company,Emery,16700227 2883,16770801 7715,lacus@necanteblandit.ca,Integer.urna@luctusaliquetodio.ca,Maecenas.iaculis@Donec.net
18400125899,"Ap #913-5467 Orci, Av.",,Adipiscing Inc.,Barclay,16140427 0967,16180928 1460,ut.erat@luctus.com,blandit@Donecfeugiat.co.uk,lectus.Cum.sociis@aultricies.net
20350077799,Ap #704-6325 Magna Rd.,9am-5pm,Ultrices Duis Volutpat LLP,Emmanuel,16020807 7875,16671129 1671,Vestibulum.ut@ligulaAliquam.ca,non.ante@Pellentesqueut.com,mollis@risusaultricies.net
