staffid,position,adminYorN,phonenumber,email,orderID,fulladdress
"16710828 3560","  Advertising","  Y","  1-816-493-2645","  Cras@lobortistellusjusto.co.uk","  359591-0039","  Ap #705-6490 Pede"
"16540524 0283","  Accounting","  N","  1-103-758-6007","  neque.Nullam@eu.com","  934673-0147","  P.O. Box 364"
"16410527 7844","  Tech Support","  Y","  1-903-675-0178","  morbi.tristique.senectus@aduiCras.edu","  472136-1071","  Ap #818-250 Sit Av."
"16000821 4926","  Quality Assurance","  N","  1-721-363-5867","  felis.ullamcorper@ligula.org","  568038-9748","  Ap #729-2196 Sem Av."
"16861212 5370","  Customer Service","  N","  1-462-722-1944","  dui@nullaanteiaculis.ca","  344872-8224","  P.O. Box 323"
"16611004 8763","  Customer Service","  N","  1-116-344-2237","  Phasellus@convallisante.org","  243574-5522","  Ap #860-783 Sem Road"
"16050204 6295","  Media Relations","  N","  1-433-754-3106","  in.magna@nonnisi.com","  136891-6035","  Ap #473-1679 Eleifend Ave"
"16320304 1342","  Accounting","  N","  1-581-963-6751","  odio.tristique.pharetra@Vestibulumante.net","  299164-7096","  6502 Mus. Rd."
"16760620 7319","  Accounting","  N","  1-654-626-8012","  Fusce.dolor.quam@urnaUttincidunt.net","  362774-2558","  561-4542 Ornare St."
"16390724 6114","  Asset Managemment","  Y","  1-677-917-6493","  odio@atlibero.com","  529716-7610","  P.O. Box 708"
"16101030 2915","  Customer Service","  Y","  1-953-741-3753","  metus@massanon.com","  898123-0470","  413-8156 Purus St."
"16130524 4111","  Customer Service","  N","  1-523-725-9857","  dictum.magna@purusmauris.ca","  688918-1118","  692-8063 Primis St."
"16441009 0080","  Payroll","  N","  1-706-431-5150","  imperdiet@Sed.org","  723770-1631","  589-2080 Pede Rd."
"16930925 4812","  Payroll","  Y","  1-773-455-2010","  lacus@vulputateullamcorper.co.uk","  072167-7946","  4500 Vestibulum. Street"
"16421111 3396","  Tech Support","  N","  1-528-292-4589","  ipsum.Phasellus@lobortis.edu","  684363-2156","  1933 Aliquam Rd."
"16790813 9582","  Payroll","  Y","  1-743-640-6500","  eget.laoreet.posuere@cursus.co.uk","  265785-5991","  P.O. Box 340"
"16200701 6781","  Customer Service","  N","  1-225-743-2143","  et@quam.net","  013731-1239","  186-1190 Placerat"
"16590824 3792","  Research and Development","  Y","  1-673-587-3607","  Nunc@quis.edu","  749250-1692","  2097 Eu Rd."
"16440810 2111","  Media Relations","  N","  1-256-690-1671","  fringilla.porttitor.vulputate@tellusPhasellus.com","  514919-5298","  358-851 Phasellus St."
"16721214 0474","  Sales and Marketing","  Y","  1-702-837-6159","  dolor.nonummy.ac@Donec.edu","  267906-3657","  918-6182 Neque Road"
"16510220 6280","  Asset Managemment","  Y","  1-166-268-7063","  sit.amet.diam@Donecdignissimmagna.co.uk","  566938-7770","  P.O. Box 370"
"16880223 9411","  Research and Development","  N","  1-217-753-4025","  non.enim@Nullam.co.uk","  252179-1810","  Ap #970-8495 Orci"
