studentid,email,fulladdress,phonenumber,orderid
69774976,arcu.iaculis.enim@risusquis.co.uk,5088 Blandit. Ave,16660229 3935,6809475
57074792,In.condimentum.Donec@scelerisquesedsapien.org,"P.O. Box 704, 1353 Enim, Rd.",16420229 6218,7416934
46783224,nulla.Cras.eu@Donecvitae.com,Ap #567-7021 Tempor Rd.,16900613 7849,2988180
47216456,id@consequat.net,427-8379 Urna. Street,16270514 0172,6894481
78171870,Nullam.vitae.diam@malesuadafringilla.org,"P.O. Box 742, 758 Erat. St.",16520617 9755,6657233
35327984,erat.volutpat@lobortis.org,"318-7604 Erat, Street",16160517 7532,3167959
66738288,faucibus@vehiculaaliquetlibero.net,"P.O. Box 332, 1732 At St.",16470108 4362,6127836
67961770,Phasellus.dapibus@sedpede.com,2248 Lectus St.,16470624 7717,10895639
53978291,adipiscing@vitae.ca,331-7673 Eget Ave,16990311 6631,3251827
62853928,dolor.egestas.rhoncus@sitamet.net,887-8042 Imperdiet Road,16740526 6938,2140821
15454211,congue@Vestibulumaccumsan.com,Ap #400-5154 Nisi Avenue,16110311 9226,1856405
27953143,est.vitae.sodales@quis.net,"P.O. Box 606, 9398 Eu St.",16810203 8018,8114766
10863435,volutpat.nunc@Integer.com,"P.O. Box 849, 7041 A, Avenue",16731117 7211,10084407
36851296,sociis.natoque.penatibus@ametrisusDonec.co.uk,382 Diam Ave,16291021 0679,2151600
78270147,vel.arcu.Curabitur@sagittis.edu,"249-1241 Augue, St.",16660720 3368,7484110
35205547,dolor.nonummy.ac@disparturientmontes.edu,"P.O. Box 310, 2957 Fermentum Av.",16900223 5407,5432242
18767067,viverra.Maecenas.iaculis@massaQuisque.ca,Ap #839-5476 Aenean Rd.,16721024 0037,10542405
23923299,tempor.lorem@Aenean.edu,6114 Felis. Road,16190319 2118,3423805
35332822,auctor.non@lacinia.ca,Ap #451-6128 At St.,16391226 9283,10496211
36858775,urna.Ut@vehicula.edu,"P.O. Box 788, 6657 Praesent St.",16980224 9350,11059306
57193554,pretium@eumetusIn.com,"P.O. Box 103, 5509 Vivamus Av.",16370205 4960,4111631
68393326,Morbi.quis.urna@ultricessitamet.edu,"5589 Ornare, St.",16781112 8821,4399645
77767597,erat.eget.tincidunt@elitpretium.ca,Ap #750-4685 Pretium Rd.,16041203 0462,4747257
65540215,tincidunt@atsemmolestie.net,"P.O. Box 304, 2201 Eu, Street",16090305 4468,10125781
50249289,dictum.cursus.Nunc@velarcu.ca,"P.O. Box 602, 2003 Tincidunt St.",16740820 3268,2541728
37283401,Curabitur@pedeblandit.com,Ap #592-6670 Non Street,16221013 2912,9174121
52630421,parturient@eu.ca,"P.O. Box 869, 3571 Eu Street",16831208 4034,7331994
76335839,consectetuer@vehiculaPellentesquetincidunt.edu,"P.O. Box 435, 7486 Eget Street",16771121 4655,8700086
2833661,dui.Cum@dictum.edu,"P.O. Box 432, 5673 Sit St.",16050619 7243,5532793
15905401,elit@arcuAliquamultrices.ca,4707 Phasellus Ave,16640314 8460,4574918
25368161,morbi.tristique@velitegestaslacinia.ca,"P.O. Box 183, 5202 Dui. Av.",16340902 8127,9370632
25131076,diam.dictum.sapien@semper.edu,296-861 Phasellus Rd.,16760419 5144,6276278
57255971,enim.Suspendisse.aliquet@acnulla.ca,212-8133 Tellus Rd.,16060324 1126,11184184
