email,phonenumber,orderid,studentid,fulladdress,LocationData_fulladdress,fullname
laoreet.posuere@ornareFusce.com,16900420 2199,2307448,3613951,"386-5577 Sem, Road",1709 Etiam Rd.,Mia Winters
mauris@Donec.ca,16400529 4659,3973567,1052644,"463-4387 Enim, Ave",859-9545 Cubilia Av.,Herman Dickson
id@utlacus.co.uk,16190723 9253,4842871,1221143,"P.O. Box 489, 5703 Fermentum Rd.","P.O. Box 735, 3943 Ligula. Rd.",Shaine Porter
commodo.auctor.velit@metusIn.com,16671106 3328,4259409,9884268,Ap #745-1299 Molestie Avenue,422-8934 Ullamcorper. Rd.,Addison Bowman
ultrices@eusemPellentesque.net,16970622 5134,6124015,1561298,Ap #292-4120 Sociis Street,"P.O. Box 708, 3625 Fusce Rd.",Holmes Williams
Donec@Morbi.org,16880820 6158,4592700,5805575,9607 Proin St.,"3894 Scelerisque, Ave",Kelsey Bright
Donec.vitae@Quisquetinciduntpede.co.uk,16741013 2364,9582190,8243651,Ap #897-8169 Eu Street,693-5496 Nulla Rd.,Anne Campos
eu.tempor.erat@eleifend.net,16360218 4016,6436171,8351200,"P.O. Box 657, 7224 Vivamus Ave",8556 Suspendisse Street,Calvin Wagner
ullamcorper.Duis@velarcuCurabitur.net,16070917 7281,2271440,3060643,Ap #879-8643 Etiam Ave,"P.O. Box 131, 4144 Tincidunt, St.",Carter Branch
est@nunc.edu,16111113 1619,10126959,4944221,527-1581 Malesuada Avenue,1055 Vivamus St.,Yoshio Macias
ornare@ut.co.uk,16700925 0577,5031481,1586421,"P.O. Box 956, 9095 Convallis Road","Ap #808-6004 Ut, Rd.",Damian Chen
Duis.dignissim@ipsum.net,16751125 8456,2484452,9066193,3393 Sodales. St.,"Ap #596-4026 Elementum, Road",Benedict Acevedo
ligula.tortor.dictum@nislMaecenas.edu,16630416 6660,8350958,3211325,"P.O. Box 850, 9601 Ipsum. Rd.",Ap #769-7511 Elit. Rd.,Nehru Ochoa
ac.mattis@semper.org,16170422 4961,2141108,8818959,Ap #111-3959 Porta St.,Ap #699-3220 Lobortis Street,Amal Meyers
eros@mi.co.uk,16990204 1590,2049924,7969651,Ap #637-180 Eu Ave,Ap #937-1289 Nullam Road,Zelenia Hahn
Fusce@convallisligulaDonec.edu,16451007 3630,5851079,1014285,Ap #451-5295 Cum St.,8784 Maecenas St.,Ursa Madden
gravida.non.sollicitudin@quisarcu.org,16591019 7952,11420666,5074417,984-9567 Nisl St.,"P.O. Box 964, 409 Ligula Road",Clare Hester
a.nunc.In@mollisnec.ca,16270307 3235,8239438,1453409,4108 Id Rd.,8581 Ultricies Street,David Crawford
eget.dictum.placerat@dolorquam.edu,16761229 8948,11503922,3864248,340-8774 Arcu Ave,"1895 Luctus, Av.",Fitzgerald Morrison
ultricies.adipiscing@molestietortor.co.uk,16760304 6702,10076280,3089090,2794 Luctus Rd.,3830 A Rd.,Yeo Wiggins
sed@Mauris.org,16910212 0590,9891406,9375560,"P.O. Box 148, 6427 Rutrum St.","5566 Vulputate, Road",Rebecca Workman
felis.purus@nonegestas.com,16691129 2016,9340770,7074172,927-5087 Nullam St.,"Ap #998-7644 Dui, St.",Zephania Marsh
sem.elit@Sedpharetra.co.uk,16020721 6144,9272629,9873196,173 Elit. Rd.,"Ap #596-6180 Elementum, Ave",Jordan Mcguire
at.velit@euismodest.co.uk,16040715 0846,3926120,9089776,493-7869 Fusce Street,"411-2845 Facilisis, Av.",Galena Lott
odio@diamSed.net,16321202 6052,5235318,1115136,2082 Duis Street,"3051 Id, Av.",Arthur Clark
Aenean.gravida.nunc@Curabituregestasnunc.net,16150107 4411,9619537,5005699,Ap #253-719 Risus Street,2275 Est. Rd.,Grace Whitney
non@sagittis.edu,16240813 7665,8987262,4246045,Ap #236-5107 Cursus Rd.,890-609 Enim St.,Mufutau Knox
In.lorem.Donec@elit.com,16040619 2922,2227728,4541268,492-328 Orci St.,Ap #487-5062 Dignissim St.,Vera Lawrence
luctus.vulputate.nisi@inmolestietortor.co.uk,16781013 9365,2803735,9763306,Ap #903-9743 Ridiculus Rd.,1131 Ipsum Av.,Bell Jackson
vestibulum.neque@sem.ca,16640826 5475,6279527,9793008,8343 Arcu St.,6859 Nulla Street,Justin Sherman
iaculis.odio@Nullatempor.co.uk,16770228 7751,5577254,4765878,1096 Et Rd.,"222-1303 Orci, Av.",Ariana Wallace
ac@rhoncusProinnisl.edu,16321101 3358,8454028,7883295,685-9153 Mauris Av.,Ap #761-2272 Dapibus Street,Gail Rivas
laoreet.libero.et@Nullainterdum.net,16611223 2829,11366115,9122432,"P.O. Box 693, 7587 Posuere Rd.","Ap #134-8626 Quis, Rd.",Kevyn Mcclure
